"namespace","old_clients","new_clients","delta_clients","old_mounts","new_mounts","delta_mounts","non_production"
"gitlab/",2,2,0,1,1,0,true
"okta/",0,28,28,0,1,1,false
"prod/alami/",7,7,0,1,1,0,false
"prod/atlas/",7,7,0,1,1,0,false
"prod/azfra1/",16,14,-2,1,1,0,false
"prod/azptest24/",7,15,8,1,1,0,false
"prod/azureuae/",5,5,0,1,1,0,false
"prod/bankina/",5,5,0,1,1,0,false
"prod/bns/",7,7,0,1,1,0,false
"prod/cd/",11,12,1,1,1,0,false
"prod/drt287/",3,4,1,1,1,0,false
"prod/gcppt25/",0,8,8,0,1,1,false
"prod/gcpptest2/",7,7,0,1,1,0,false
"prod/jago/",7,7,0,1,1,0,false
"prod/jeitto/",7,7,0,1,1,0,false
"prod/koinworks/",7,7,0,1,1,0,false
"prod/libertad/",5,5,0,1,1,0,false
"prod/montreal/",5,5,0,1,1,0,false
"prod/osbg/",7,7,0,1,1,0,false
"prod/platform/",70,70,0,33,29,-4,false
"prod/sdb/",3,4,1,1,1,0,false
"prod/sngpr2/",7,7,0,1,1,0,false
"prod/ta3meed/",2,3,1,1,1,0,false
"prod/vault-eu-az/",1,1,0,1,1,0,false
"prod/wio/",7,7,0,1,1,0,false
"prod/zurich/",8,7,-1,1,1,0,false
"root",60,74,14,4,4,0,false
